Gene_Probe,Importance
5316,0.0
3726,0.0
340,0.0
19274,0.0
401,0.0
3735,0.0
3728,0.0
5873,0.0
12303,0.0
3727,0.0
764,0.0
4342,0.0
9215,0.0
10261,0.0
2502,0.0
7157,0.0
8646,0.0
402,0.0
8986,0.0
3722,0.0
